Psalm,St. Dunstan,Plainsong Psalter,My Version
1,1 B 1,5 1,
2,3 A 4,8 1,
3,2 1,2 1,
4,8 1,4 1,
5,1 A 4,4,
6,8 5,2 1,
7,1 A 1,8 1,
8,5 2,7 3,
9,6 C,1 1,
10,8 2,4 1,
11,5 2,5 1,
12,4 9,1 2,
13,3 A 4,6,
14,7 4,3 4,
15,3 A 5,6,
16,8 5,8 1,
17,7 6,8 1,
18 1,1 B 2,8 2,
18 2,2 2,5 1,
19,4 5,7 3,
20,3 A 1,8 2,
21,8 2,5 1,
22,"2 1, 2 PA",4 1,
23,6 A,8 1,
24,7 5,1 2,
25,1 A 9,1 7,
26,6 B,6,
27,7 3,8 1,
28,4 10,5 1,
29,5 3,3 4,
30,1 B 10,1 2,
31,"8 1, 2: 7 6",7 3,
32,1 A 8,3 4,
33,2 A 5,1 2,
34,7 2,5 1,
35,"1 A 1, 2: 3 A 6",6,
36,2 1,1 1,
37 1,1 B 4,3 4,
37 2,1 A 5,7 3,
38,4 8,4 4,
39,2 1,1 2,
40,6 A,2 1,
41,3 A 2,1 1,
42,5 1,8 1,
43,5 1,7 3,
44,"7 1, 2: 4 7",3 4,
45,8 1,8 1,
46,5 3,5 1,
47,7 6,7 3,
48,1 A 10,8 1,
49,2 1,2 1,
50,3 A 2,1 2,
51,4 4,4 1,
52,7 7,5 1,
53,3 A 5,7 3,
54,4 6,1 2,
55,1 A B,1 1,
56,1 B 9,4 1,
57,8 6,7 1,
58,7 4,1 2,
59,4 7,4 1,
60,6 C,7 3,
61,8 1,1 2,
62,4 10,8 1,
63,1 B 10,2 1,
64,2 1,1 8,
65,7 5,3 4,
66,1 B 3,5 3,
67,8 3,8 1,
68,"8 1, 2: 7 4",7 3,
69,"2 1, 2: 1 A 5",3 4,
70,4 8,8 1,
71,4 9,7 3,
72,6 C,1 1,
73,"7 7, 2: 1 B 8",2 1,
74,2 1,4 4,
75,1 A 3,8 2,
76,8 2,5 3,
77,2 1,6,
78 1,"1 B 4, 4 3",1 2,
78 2,"2 2, PA",1 7,
79,8 1,7 1,
80,4 1,4 4,
81,3 A 6,1 1,
82,8 2,4 4,
83,7 1,4 5,
84,3 A 1,7 3,
85,4 5,1 2,
86,1 B 4,8 2,
87,7 2,7 3,
88,4 7,1 7,
89 1,1 B 1,5 1,
89 2,"5 3, 4 12",1 1,
90,1 A 2,8 1,
91,8 1,4 4,
92,6 C,5 3,
93,5 3,8 1,
94,4 4,3 5,
95,3 A 1,2 1,
96,8 1,5 1,
97,5 2,1 7,
98,6 A,8 2,
99,4 4,7 1,
100,8 1,8 1,
101,7 5,1 2,
102,"1 A 3, 7 1",6,
103,5 3,8 2,
104,3 A 1,8 1,
105 1,6 B,7 7,
105 2,1 A 7,P,
106 1,6 C,8 3,
106 2,1 A 8,4 2,
107 1,"8 1, 4 11",5 1,
107 2,1 A 5,8 4,
108,8 2,8 2,
109,"4 6, 4 5, 4, 6",2 1,
110,3 A 2,3 4,
111,4 6,8 5,
112,7 5,1 7,
113,5 2,3 4,
114,PA,P,
115,PA,P,
116,2 1,8 1,
117,PA,7 3,
118,1 A 1,8 1,
119 Aleph,3 A 4,6,
119 Beth,3 A 4,6,
119 Gimel,7 7,6,
119 Daleth,7 7,6,
119 He,1 A 12,1 1,
119 Waw,1 A 12,8 1,
119 Zayin,1 A 12,1 3,
119 Heth,4 10,4 1,
119 Teth,,2 1,
119 Yodh,1 B 10,7 3,
119 Kaph,,7 3,
119 Lamedh,2 1,4 4,
119 Mem,2 1,6,
119 Nun,7 3,2 1,
119 Samekh,7 3,2 1,
119 Ayin,7 3,6,
119 Pe,5 1,1 1,
119 Sadhe,5 1,5 1,
119 Qoph,1 A 4,1 4,
119 Resh,1 A 4,1 4,
119 Shin,3 A 4,3 4,
119 Taw,3 A 4,3 4,
120,1 A B,7 6,
121,1 B 4,5 1,
122,4 6,1 2,
123,1 2,6,
124,7 7,4 1,
125,8 2,2 1,
126,1 A 2,1 1,
127,2 1,8 1,
128,3 A 5,3 5,
129,4 4,2 1,
130,4 6,3 5,
131,8 2,4 6,
132,6 C,1 7,
133,8 3,6,
134,8 1,1 1,
135,7 2,1 1,
136,"3 A 6, 1 B 8",P,
137,1 A 9,1 1,
138,5 2,5 1,
139,"1 B 5, 6 A",3 5,
140,3 A 5,3 5,
141,8 6,8 1,
142,6 B,5 1,
143,7 1,6,
144,1 B 2,1 2,
145,5 1,8 2,
146,4 6,7 1,
147,8 1,8 1,
148,7 2,7 3,
149,6 C,1 1,
150,PA,8 2,
